window, counter, contact person
salt, hardship, saltiness
north, the north, north korea
niece, first name, famous
mackerel, server, atlantic mackerel
evening, dinner, number
storey, stairs, stage
to wait, to await, to depend on
liver, courage, crux
earth, the earth,
mother, aha!, yes sir
to put, to leave, to establish
to sleep, to go to bed, to lie down
time, occasion, chance
common cold, wind, manner
horse, horse racing, promoted bishop
collar, nape of the neck, fishing weir
eight, bowl, flowerpot
snake, serpent, heavy
sea bream, tai, sparidae
monkey, sly person, idiot
string, leash, restrictions
silver, silver coin, silver medal
to hit, to strike, to beat
to decrease, to pass, to pass through
eagle, i, washi
to write, to draw, status
10, myriad, everything
to break, to fold, to make
tea, tea plant, tea preparation
to sell, to betray, to make
copper, bronze, trunk
neck, head, dismissal
moon, month, moonlight
shin, sponging, snake
aunt, old lady, grandmother
store, to show, to make
stalk, plant stem, cave
wheat, shameless, barley tea
to take, to pass, to get
seven, four o'clock, slanting
rice plant, nodding off, rice reaping
place, position, one
legume, soya bean, female genitalia
furniture, to sniff, very stupid
hawk, quantity, degree
clear weather, formal, swelling
insect, worm, nervousness
evil, to open, to be empty
buttocks, undersurface, last place
three, acid, sourness
sky, weather, far-off place
bear, corner, shade
to put on, to affix, to sweep
good, sufficient, profitable
to turn toward, to face, to point
snow, the way there, bound for ...
cat, shamisen, geisha
railway station, liquid
to shine, to be visible, to be tinged with
cell, serge, cel
width, freedom, gap
knee, lap, sunlight
flower, cherry blossom, beauty
to be crowded, to be complex, to go into
banknote, counter for books, volume
to drink, to smoke, to engulf
to hold, to possess, to maintain
water, fluid, flood
bone, frame, outline
morning, breakfast, cannabis
peach, thigh, femoral
thanks, manners, bow
sleeve, wing, flap
to bite, to chew, to crash against
gold, money, sum
to die, to lose spirit, to cease
grass, ninja, marijuana
black, black stone, guilt
elbow, secret, emergency
skin, non-negative, skin disease
cicada, semi-, seminar
to go, to move through, to do
evening, dinner, night
iron, steel, railway
flavor, charm, experience
grandfather, old man, sofu
bird, bird meat, the rooster
wife, garnish, accompaniment
shoulder, type, mold
to buy, to value, to incur
paper, god, incredible
arm, skill, ude
writing brush, writing, ink brush
house, family, lineage
to fly, to jump, to spatter
nail, plectrum, hook
letter, writing, writing system
older sister, ane, sister-in-law
tuber, yokel, dud
right, right hand, the above
rope, policeman's rope, skipping rope
in front, before, forward
milk, breast, loop
to meet, to come together, to fit
foot, leg, gait
living room, now, another
geography, dust, trash
nail, ward assemblyman, sacrifice
star, dot, bullseye
to know, to sense, to understand
white, innocence, blank space
diarrhea, guerrilla, sudden
ten, ten years of age, distant
skin, body, surface
red, red light, red ink
consent or refusal, to give birth, to produce
noon, daytime, lunch
to be, to stay, to be ...-ing
cattle, beef, the ox
japanese apricot, lowest, prunus mume
deer, dentistry, dental
to say, to name, to go
i, you, manservant
year, age, past one's prime
rail bus
four, forty, four thousand
finger, ring, to point at
clothes, to blow, to play
to increase, box, square on a grid
prawn, ebi, shrimp
bell, money, metal
i, fold, you
chest, breasts, heart
tongue, below, bottom
to get, to understand, to be able to ...
person, human beings, human
shoe, socks, sock
uncle, old man, grandfather
mouth, opening, gate
staple, the nth, comment
blue, green, green light
face, look, honor
older brother, never, why
to stand, to be, to leave
to come, to come back, to come to be
common cattail, toad, endurance
to see, to examine, to look after
miso, innards, key
chair, post, swords
to wear, to take, to cut
moustache, whiskers, shadow
book, this, main
road, route, distance
steam, flattering words, to boil with rage
umbrella, bulk, conical hat
to kick, to refuse, to stamp
pig, pork, fatso
flesh, meat, the physical body
tiger, drunkard, the tiger
science, pear blossoms, plum blossoms
key, lock, hook
nonexistent, unowned, unique
mud, thief, theft
to make sound, to cry, nak
six, satisfactory, landmass
minute, fun, hmm
to read, to recite, to predict
the past, one's past, past
grandmother, simple, rough
old age, nephew, hey!
elephant, image, figure
colour, complexion, look
dog, squealer, loser
west, two out, private
to hear, to listen, to ask
grandchild, packhorse driver, ma gu
lion, left-hand, flesh
ear, hearing, edge
rain, rainy day, the november suit
lower back, body, waist
above, top, surface
thousand, line, ray
